index,arrival_time,departure_time,required_energy
1,0.0,7.5,4.2
2,0.0,10.2,34.4
3,0.0,3.2,11.5
4,0.2,9.3,34.0
5,0.2,0.3,1.0
6,0.4,1.2,15.1
7,0.9,1.4,1.1
8,0.9,2.1,12.8
9,1.3,7.0,31.1
10,1.7,2.1,5.8
11,1.8,3.2,22.6
12,2.4,9.5,21.6
13,2.7,4.2,26.8
14,2.8,10.7,53.2
15,3.2,4.6,20.3
16,3.4,3.6,2.6
17,3.5,5.7,37.9
18,3.6,8.7,43.8
19,3.7,4.8,14.5
20,3.7,6.3,22.5
21,3.9,9.7,40.9
22,3.9,10.2,23.1
23,4.5,6.4,39.6
24,4.8,6.1,9.9
25,5.2,6.4,21.3
26,5.4,5.6,1.9
27,5.4,6.2,13.0
28,5.5,6.5,20.2
29,5.5,12.6,31.8
30,5.8,6.7,18.6
31,5.8,7.5,30.7
32,5.9,6.4,3.4
33,6.4,8.3,37.7
34,6.7,7.3,13.1
35,6.9,16.1,19.6
36,7.1,7.5,7.6
37,7.3,7.6,5.4
38,7.5,8.9,23.8
39,7.7,9.1,15.5
40,8.1,8.3,3.4
41,8.2,9.3,23.1
42,8.4,9.4,17.8
43,8.4,10.6,24.6
44,8.4,8.8,6.0
45,8.7,9.5,13.7
46,8.7,12.5,28.9
47,8.7,9.7,18.5
48,8.8,11.5,51.3
49,8.9,9.1,3.3
50,9.1,10.8,27.7
51,9.1,9.6,6.2
52,9.1,9.5,8.3
53,9.1,10.5,27.5
54,9.2,11.0,30.0
55,9.2,9.5,4.3
56,9.3,9.7,1.0
57,9.4,10.6,13.2
58,9.4,10.2,17.5
59,9.4,11.3,26.2
60,9.5,12.0,32.9
61,9.5,9.7,1.8
62,9.6,11.0,29.5
63,9.7,11.1,25.2
64,9.7,10.8,1.7
65,9.8,10.6,12.5
66,9.8,11.6,21.4
67,9.8,10.4,4.8
68,9.9,10.3,4.8
69,10.3,11.5,21.4
70,10.5,12.7,43.8
71,10.6,11.6,13.7
72,10.7,11.5,12.0
73,10.7,11.2,10.9
74,10.9,14.9,23.2
75,10.9,11.2,5.9
76,11.0,11.8,17.1
77,11.0,11.5,9.7
78,11.1,11.3,1.0
79,11.1,13.1,38.9
80,11.2,12.3,22.8
81,11.2,12.7,20.7
82,11.2,12.8,27.5
83,11.3,12.5,23.7
84,11.3,12.3,18.7
85,11.3,11.5,4.2
86,11.4,17.0,23.7
87,11.5,12.5,15.5
88,11.5,11.9,1.9
89,11.5,13.7,34.8
90,11.6,12.5,15.2
91,11.7,13.2,26.9
92,11.7,11.9,2.1
93,11.7,12.1,6.7
94,11.7,12.1,8.1
95,11.7,12.8,15.5
96,11.8,13.2,18.6
97,11.8,12.5,14.4
98,11.9,12.7,14.5
99,11.9,13.6,31.9
100,12.0,14.0,23.3
101,12.0,13.4,10.8
102,12.0,13.2,19.4
103,12.0,12.6,12.6
104,12.1,13.1,6.4
105,12.1,13.2,10.3
106,12.2,12.9,15.0
107,12.2,13.8,14.6
108,12.3,13.5,22.0
109,12.3,13.8,22.4
110,12.3,13.4,23.4
111,12.5,12.6,1.0
112,12.5,14.3,37.6
113,12.5,13.0,6.7
