index,arrival_time,departure_time,required_energy
1,0.2,8.4,33.0
2,0.2,10.1,27.0
3,0.5,0.8,4.9
4,1.2,7.6,1.0
5,1.4,1.7,4.7
6,2.4,2.5,2.1
7,4.2,6.2,16.0
8,4.9,6.2,17.8
9,7.5,8.0,6.9
10,7.6,8.4,17.1
11,8.5,9.4,17.9
12,9.6,11.3,29.5
13,9.8,11.1,12.7
14,10.1,12.8,26.7
15,10.4,12.1,26.3
16,10.5,11.0,2.0
17,10.6,14.5,35.9
18,10.7,12.2,24.1
19,11.1,11.9,10.0
20,11.4,12.6,24.1
21,12.1,18.0,38.3
22,12.2,12.9,15.0
23,12.8,15.2,39.9
24,13.5,14.5,18.0
25,13.5,13.9,2.3
26,13.7,15.3,28.4
27,14.2,14.6,8.6
28,14.3,14.7,8.3
29,14.5,16.3,29.4
30,14.7,20.7,24.8
31,14.8,16.0,8.6
32,15.4,16.9,30.1
33,15.7,16.2,8.9
34,16.2,24.0,42.6
35,16.6,17.4,11.6
36,16.7,18.4,27.4
37,17.2,18.6,21.2
38,17.4,19.0,28.0
39,17.5,18.8,17.2
40,18.1,18.7,13.0
41,19.3,19.5,2.5
42,19.5,20.4,17.0
43,19.6,20.7,17.8
44,19.9,21.8,31.6
45,20.0,20.5,8.1
46,21.4,21.9,7.5
47,21.7,23.3,22.5
48,22.1,23.7,27.9
49,23.0,24.0,18.7
50,23.0,24.0,14.9
