index,arrival_time,departure_time,required_energy
1,0.2,0.5,2.8
2,0.7,2.8,44.0
3,1.4,5.7,47.5
4,4.0,10.6,45.0
5,5.5,6.5,21.9
6,7.4,8.7,14.4
7,8.6,14.4,53.0
8,8.7,10.4,26.6
9,9.0,9.2,3.5
10,9.1,10.1,7.8
11,9.5,10.8,28.2
12,9.9,10.4,7.2
13,10.1,13.7,31.4
14,10.9,11.1,3.8
15,11.1,17.4,31.7
16,11.2,12.5,12.1
17,11.5,11.6,1.0
18,11.5,12.9,21.5
19,11.7,13.5,14.8
20,11.8,12.3,1.0
21,11.8,15.5,19.2
22,12.3,12.6,1.0
23,12.5,12.7,1.4
24,12.5,13.2,15.0
25,12.8,18.2,37.6
26,13.3,14.0,9.3
27,13.8,14.3,8.7
28,14.1,15.2,20.5
29,14.7,15.3,9.5
30,14.9,17.2,37.9
31,15.9,16.9,21.0
32,16.0,16.6,10.0
33,16.7,18.2,13.9
34,17.1,18.1,19.5
35,18.0,18.5,9.7
36,18.0,19.3,24.6
37,18.8,20.3,21.0
38,18.9,19.4,6.2
39,19.2,23.0,14.0
40,19.7,20.3,6.9
41,19.8,20.3,9.6
42,20.4,24.0,24.9
43,20.4,21.5,8.4
44,20.6,21.4,13.9
45,21.5,22.6,20.3
46,21.5,22.3,12.7
47,21.8,22.8,7.3
48,21.8,23.2,25.1
49,22.8,24.0,13.1
50,23.0,24.0,22.0
