index,arrival_time,departure_time,required_energy
1,0.0,3.7,42.8
2,0.0,2.7,29.2
3,0.1,6.4,39.1
4,0.2,7.1,27.9
5,0.2,0.4,4.2
6,0.5,6.6,36.5
7,0.7,3.7,44.6
8,0.9,1.4,10.8
9,1.0,3.2,17.7
10,1.0,1.9,19.2
11,1.4,9.6,42.1
12,1.5,2.5,21.4
13,1.7,9.7,35.6
14,2.4,3.7,18.7
15,2.8,10.2,14.4
16,2.9,4.3,9.8
17,3.2,5.1,41.4
18,3.4,4.0,8.0
19,3.5,8.1,40.3
20,3.5,6.5,1.5
21,3.6,5.3,34.2
22,3.6,10.2,31.8
23,3.7,11.5,42.2
24,4.2,7.4,19.2
25,4.4,5.9,28.6
26,4.8,15.0,31.1
27,5.6,12.1,16.2
28,5.7,10.5,42.7
29,5.7,7.0,16.7
30,6.1,7.1,20.2
31,6.1,7.1,15.5
32,6.2,8.0,16.7
33,6.3,10.8,20.2
34,6.4,7.8,29.0
35,6.6,8.2,27.3
36,6.8,7.3,7.9
37,6.8,8.0,22.5
38,6.9,9.9,23.5
39,7.5,7.7,4.2
40,7.5,7.6,2.0
41,7.7,9.1,4.6
42,7.7,9.2,28.1
43,7.9,8.4,10.5
44,7.9,8.6,6.4
45,8.0,18.8,27.9
46,8.0,8.4,4.6
47,8.1,8.8,11.5
48,8.2,8.6,6.0
49,8.2,10.4,24.1
50,8.3,8.6,5.9
51,8.4,9.9,18.3
52,8.6,9.8,16.4
53,8.8,10.7,36.3
54,8.8,9.4,6.1
55,8.9,12.7,15.4
56,9.0,9.4,8.1
57,9.0,12.1,52.8
58,9.2,9.9,11.4
59,9.3,9.8,7.4
60,9.4,10.9,30.7
61,9.5,11.0,29.0
62,9.5,10.0,9.2
63,9.6,10.1,8.2
64,9.7,10.4,14.8
65,9.7,12.6,47.6
66,9.9,11.6,22.5
67,9.9,10.8,19.5
68,10.0,10.9,17.7
69,10.1,12.4,34.7
70,10.1,11.5,16.5
71,10.3,11.7,15.7
72,10.3,11.4,12.2
73,10.3,12.0,20.9
74,10.4,11.1,10.2
75,10.5,11.7,13.4
76,10.5,11.2,3.2
77,10.5,11.6,17.8
78,10.6,12.9,37.4
79,10.6,11.1,8.3
80,10.6,11.9,16.2
81,10.7,11.3,10.7
82,10.7,11.7,12.6
83,10.9,11.7,15.1
84,10.9,11.2,1.6
85,11.1,12.2,23.1
86,11.1,13.3,25.8
87,11.2,12.2,18.9
88,11.4,12.2,13.2
89,11.6,12.4,15.9
90,11.8,13.0,22.1
91,11.9,12.7,16.4
92,11.9,13.4,29.8
93,12.0,13.8,12.6
94,12.0,12.4,4.1
95,12.0,12.2,2.5
96,12.1,13.3,17.4
97,12.1,13.4,26.5
98,12.1,13.6,18.9
99,12.2,13.0,17.4
100,12.2,13.8,29.4
101,12.3,12.7,7.8
102,12.4,17.6,25.9
103,12.5,13.4,18.3
104,12.5,13.8,17.4
105,12.5,13.2,13.8
106,12.6,13.2,12.5
107,12.6,13.9,19.6
108,12.6,14.3,13.6
109,12.6,13.3,10.3
110,12.6,13.1,7.6
111,12.7,13.9,20.8
112,12.7,14.2,22.3
113,12.7,14.7,36.7
114,12.7,13.4,10.6
115,12.9,14.0,18.9
116,12.9,13.9,17.8
117,12.9,13.3,6.8
118,12.9,14.7,30.3
119,13.0,14.8,24.1
120,13.1,13.5,8.2
121,13.1,13.6,2.4
122,13.1,14.4,23.8
123,13.2,13.9,14.1
124,13.3,13.7,8.6
125,13.4,14.0,10.2
126,13.4,13.6,1.0
127,13.4,14.6,16.0
128,13.4,13.6,3.5
129,13.5,15.7,36.2
130,13.5,14.9,14.0
131,13.5,15.4,39.4
132,13.7,14.1,7.7
133,13.7,13.9,3.5
134,13.7,14.6,13.4
135,13.7,14.9,22.2
136,13.9,14.5,8.4
137,14.0,15.4,9.4
138,14.0,14.4,8.0
139,14.0,14.9,17.3
140,14.0,15.5,23.8
141,14.1,14.9,7.8
142,14.2,14.6,1.4
143,14.3,20.7,30.1
144,14.3,15.0,12.6
145,14.3,14.9,11.3
146,14.3,14.9,6.4
147,14.4,15.0,7.6
148,14.5,15.0,4.9
149,14.5,16.0,24.9
150,14.5,15.7,21.7
151,14.5,14.7,2.8
152,14.5,15.5,10.5
153,14.5,16.1,30.3
154,14.6,16.1,16.2
155,14.6,14.8,3.2
156,14.6,15.2,5.7
157,14.7,15.4,15.0
158,14.7,14.9,4.4
159,14.7,16.4,26.6
160,14.8,15.6,6.9
161,14.8,18.5,44.6
162,14.8,15.3,1.0
163,14.9,15.5,11.5
164,15.0,15.4,8.7
165,15.0,15.6,11.3
166,15.0,16.5,21.3
167,15.1,15.8,12.0
168,15.1,16.2,21.1
169,15.1,15.6,11.0
170,15.2,15.9,13.2
171,15.4,15.7,5.0
172,15.4,15.9,4.1
173,15.5,17.0,28.5
174,15.5,16.5,19.4
175,15.6,16.6,14.3
176,15.6,16.2,5.3
177,15.7,16.8,23.2
178,15.7,16.4,13.2
179,15.8,16.2,7.2
180,15.9,16.6,7.7
181,15.9,17.3,30.4
182,16.0,17.7,25.9
183,16.0,16.7,10.8
184,16.1,16.3,2.3
185,16.2,17.7,17.1
186,16.2,16.9,6.8
187,16.3,17.5,23.1
188,16.4,16.5,1.8
189,16.5,17.5,13.8
190,16.5,18.2,28.7
191,16.5,16.9,7.3
192,16.5,17.7,14.6
193,16.6,20.2,13.9
194,16.7,17.4,12.7
195,16.7,17.0,3.6
196,16.7,17.1,6.8
197,16.7,21.3,25.4
198,16.8,17.0,4.1
199,16.9,17.1,1.0
200,17.0,18.2,24.9
201,17.0,17.9,8.3
202,17.1,22.1,62.8
203,17.3,18.2,18.7
204,17.3,17.8,8.8
205,17.3,18.7,19.9
206,17.3,20.9,42.7
207,17.4,17.7,1.8
208,17.5,18.4,18.0
209,17.5,18.3,16.2
210,17.6,19.7,14.7
211,17.6,18.8,15.6
212,17.7,18.1,7.7
213,17.7,18.0,1.0
214,17.7,18.7,18.4
215,17.9,21.2,32.1
216,18.2,18.6,7.5
217,18.2,19.1,18.0
218,18.2,19.2,11.0
219,18.2,18.4,4.2
220,18.3,18.7,6.5
221,18.5,19.0,10.8
222,18.5,19.9,22.5
223,18.7,22.9,29.2
224,18.7,20.1,28.8
225,18.7,19.4,7.5
226,18.8,19.9,19.4
227,18.8,19.3,7.8
228,18.8,20.2,24.2
229,18.8,19.6,11.4
230,18.8,21.9,25.4
231,18.8,19.2,8.6
232,18.9,20.1,17.8
233,18.9,19.3,3.2
234,19.0,20.8,26.0
235,19.0,20.7,36.9
236,19.1,23.3,24.5
237,19.1,20.8,25.8
238,19.1,20.0,7.8
239,19.2,20.3,23.0
240,19.3,20.7,26.7
241,19.3,19.6,2.3
242,19.5,20.6,14.2
243,19.5,20.4,13.1
244,19.5,20.2,15.0
245,19.5,21.1,10.3
246,19.6,20.2,10.3
247,19.6,20.5,17.5
248,19.7,21.6,11.9
249,19.8,21.2,22.9
250,19.9,20.2,6.0
251,20.0,20.6,10.4
252,20.0,20.7,9.7
253,20.1,21.6,23.5
254,20.2,24.0,35.0
255,20.4,24.0,28.3
256,20.7,22.0,27.3
257,20.8,22.0,23.6
258,21.1,24.0,23.8
259,21.2,21.9,2.7
260,21.2,22.6,18.5
261,21.2,24.0,49.4
262,21.2,24.0,33.8
263,21.3,24.0,39.2
264,21.4,24.0,31.4
265,21.5,22.2,13.5
266,21.7,22.7,18.5
267,21.7,24.0,33.4
268,21.8,24.0,39.0
269,21.8,23.5,34.1
270,21.8,24.0,21.3
271,21.9,22.4,2.3
272,22.0,24.0,38.4
273,22.0,23.1,22.0
274,22.0,22.9,12.0
275,22.1,23.2,22.5
276,22.1,22.8,8.7
277,22.1,24.0,30.9
278,22.2,22.7,3.9
279,22.2,22.5,1.0
280,22.3,22.5,1.0
281,22.4,23.2,14.2
282,22.4,23.1,8.8
283,22.4,23.5,20.2
284,22.4,22.7,3.4
285,22.5,22.6,1.5
286,22.6,23.9,24.6
287,22.6,23.8,22.4
288,22.7,23.3,12.2
289,22.7,23.0,2.5
290,22.7,23.2,11.0
291,22.9,23.3,8.1
292,22.9,23.9,20.1
293,23.0,23.4,7.7
294,23.0,23.7,12.5
295,23.0,23.6,1.0
296,23.0,23.8,13.7
297,23.0,23.9,18.3
298,23.0,23.6,10.9
299,23.0,23.6,4.9
300,23.0,24.0,5.2
