index,arrival_time,departure_time,required_energy
1,0.0,1.1,5.8
2,0.0,7.3,44.9
3,0.0,1.2,20.5
4,0.0,0.9,17.3
5,0.0,0.6,9.4
6,0.1,1.7,27.1
7,0.2,9.1,23.0
8,0.3,1.6,13.6
9,0.4,1.2,13.2
10,0.5,2.8,36.2
11,0.8,8.5,40.0
12,0.9,3.0,28.9
13,1.0,8.8,53.3
14,1.0,9.0,43.5
15,1.1,3.3,24.6
16,1.1,10.4,57.0
17,1.1,10.6,41.5
18,1.9,6.4,17.9
19,2.3,6.0,35.3
20,2.4,3.4,19.6
21,2.6,4.0,12.5
22,2.8,3.0,2.7
23,3.6,6.7,43.1
24,4.2,20.1,33.9
25,4.3,5.3,18.2
26,4.5,5.0,3.1
27,5.0,5.6,1.5
28,5.1,5.6,7.9
29,5.1,5.5,5.6
30,6.1,8.0,35.9
31,6.1,7.5,24.7
32,6.4,7.6,23.4
33,6.7,8.9,11.3
34,6.9,7.7,10.3
35,7.1,8.1,20.9
36,7.2,8.9,21.6
37,7.6,8.2,9.1
38,7.7,8.0,4.8
39,7.8,8.7,8.6
40,8.0,11.8,20.1
41,8.1,8.3,2.9
42,8.2,11.0,33.3
43,8.4,13.5,25.7
44,8.5,9.3,16.0
45,8.5,9.1,4.4
46,8.7,9.1,8.3
47,8.7,10.2,22.4
48,8.7,9.8,20.1
49,8.7,11.0,32.4
50,8.8,17.0,28.1
51,9.1,14.1,33.4
52,9.1,10.7,24.6
53,9.2,10.1,16.8
54,9.2,9.5,5.8
55,9.3,10.3,13.8
56,9.3,10.6,27.3
57,9.4,9.8,5.3
58,9.4,13.4,34.5
59,9.5,10.3,16.7
60,9.6,11.1,28.7
61,9.6,11.2,28.2
62,9.7,10.8,19.4
63,9.7,10.7,21.6
64,9.7,10.0,4.8
65,9.8,10.7,10.0
66,9.9,11.3,22.6
67,9.9,10.9,16.6
68,9.9,12.6,28.5
69,9.9,10.3,2.1
70,10.0,10.8,14.1
71,10.1,12.2,43.5
72,10.1,10.6,8.7
73,10.1,11.6,29.4
74,10.2,11.2,22.0
75,10.2,12.6,13.8
76,10.4,11.5,14.9
