index,arrival_time,departure_time,required_energy
1,0.0,8.1,40.3
2,0.0,0.7,7.0
3,0.0,1.1,16.6
4,0.2,0.5,6.0
5,0.3,0.5,3.3
6,0.5,9.1,20.0
7,0.5,0.7,3.3
8,0.7,1.4,12.3
9,1.1,8.0,37.8
10,1.3,11.1,46.2
11,1.7,3.3,19.0
12,1.9,5.4,21.2
13,2.2,3.4,25.3
14,2.3,2.7,7.4
15,2.4,11.3,38.8
16,2.5,3.7,19.3
17,2.7,3.6,18.5
18,3.0,5.6,36.2
19,3.1,3.4,4.0
20,3.1,7.3,41.5
21,3.2,5.8,47.6
22,3.5,10.9,30.3
23,3.7,6.7,15.1
24,3.9,5.5,34.7
25,4.1,8.0,28.4
26,4.2,6.3,38.0
27,4.3,4.7,1.8
28,4.6,5.1,1.0
29,4.9,6.3,20.4
30,5.0,8.1,38.0
31,5.5,6.8,15.0
32,5.9,6.1,2.6
33,6.1,7.8,23.7
34,6.2,6.7,10.3
35,6.6,8.9,30.0
36,6.8,8.6,17.5
37,7.0,8.2,25.1
38,7.2,7.6,3.2
39,7.3,7.5,3.5
40,7.3,8.4,17.7
41,7.4,10.7,18.4
42,7.4,8.6,12.0
43,7.5,8.7,16.0
44,7.5,8.8,13.5
45,7.5,7.7,2.8
46,7.9,8.1,1.4
47,7.9,11.7,18.2
48,7.9,8.3,8.7
49,8.0,9.3,24.5
50,8.1,8.9,11.6
51,8.2,9.5,22.6
52,8.4,8.9,1.0
53,8.5,10.3,28.1
54,8.6,9.2,8.2
55,8.6,9.3,11.9
56,8.7,11.3,56.8
57,8.7,9.1,3.4
58,8.9,9.1,1.0
59,9.0,12.2,48.9
60,9.2,9.5,6.6
61,9.2,10.7,26.4
62,9.2,14.2,44.1
63,9.3,10.8,11.1
64,9.5,11.7,25.8
65,9.6,10.1,7.2
66,9.7,10.1,8.1
67,9.7,11.5,27.8
68,9.8,11.2,21.5
69,9.8,10.9,3.3
70,10.1,11.2,17.8
71,10.2,10.7,1.3
72,10.2,11.0,16.8
73,10.2,11.2,18.3
74,10.3,10.4,1.8
75,10.3,11.5,8.0
76,10.4,10.6,2.4
77,10.4,11.0,12.0
78,10.5,10.7,3.7
79,10.5,11.3,8.9
80,10.6,13.3,8.5
81,10.7,18.0,27.7
