index,arrival_time,departure_time,required_energy
1,1.0,9.4,35.3
2,2.1,4.4,37.6
3,2.8,4.9,24.6
4,4.1,5.2,14.9
5,4.8,5.1,5.8
6,5.3,13.2,38.8
7,6.0,7.8,9.8
8,8.6,9.7,22.8
9,9.7,10.7,1.9
10,9.7,10.0,2.3
11,10.0,10.7,13.7
12,10.5,10.8,3.8
13,11.7,14.3,17.7
14,11.8,12.9,21.8
15,11.8,13.3,27.0
16,11.9,12.9,15.6
17,12.3,13.4,19.9
18,12.5,13.3,10.2
19,12.5,13.2,9.0
20,13.6,14.9,26.8
21,13.7,15.0,16.3
22,13.7,15.2,29.2
23,13.8,14.6,10.3
24,14.0,14.6,8.2
25,14.2,15.3,23.4
26,14.4,15.2,17.5
27,14.5,16.5,30.8
28,14.6,15.8,1.4
29,14.8,16.2,19.7
30,15.0,15.9,12.8
31,15.1,15.3,1.0
32,15.4,16.5,22.6
33,16.5,17.3,9.8
34,16.8,18.6,36.4
35,17.5,18.9,22.7
36,17.7,22.2,36.0
37,18.1,19.5,23.2
38,18.4,19.7,22.6
39,18.8,19.5,14.1
40,18.9,19.1,3.2
41,19.2,19.9,15.0
42,20.0,20.3,6.3
43,20.5,22.2,23.6
44,21.1,21.7,12.1
45,21.1,24.0,40.3
46,21.3,22.2,6.5
47,21.5,21.9,5.8
48,21.8,24.0,27.3
49,21.8,22.3,9.0
50,22.5,23.0,6.1
