index,arrival_time,departure_time,required_energy
1,0.0,4.9,56.6
2,0.0,4.9,35.9
3,0.0,0.6,11.1
4,0.0,9.2,37.6
5,0.7,8.3,35.2
6,0.7,1.0,4.7
7,0.9,7.6,12.4
8,1.0,6.5,22.3
9,1.2,2.1,16.0
10,1.3,7.2,35.6
11,1.4,2.1,13.4
12,1.5,2.5,17.9
13,1.5,2.2,13.1
14,1.6,12.1,27.5
15,1.6,3.2,26.1
16,2.0,5.8,15.0
17,2.0,12.4,21.2
18,2.1,9.0,21.4
19,2.3,5.6,13.6
20,2.4,4.0,31.9
21,2.9,4.4,32.9
22,3.0,3.2,3.4
23,3.3,3.9,8.8
24,3.4,4.9,8.8
25,3.8,4.9,22.2
26,3.9,9.7,29.0
27,4.1,5.4,20.8
28,4.1,4.3,1.1
29,4.5,5.2,14.5
30,4.8,5.1,5.3
31,4.9,5.9,20.1
32,5.0,6.1,19.3
33,5.3,5.7,7.2
34,5.7,8.0,22.7
35,5.7,6.0,5.9
36,6.0,9.2,54.7
37,6.2,6.7,10.4
38,6.6,7.7,10.8
39,6.7,11.9,25.4
40,6.8,7.0,1.8
41,6.8,10.0,28.0
42,6.8,8.0,24.8
43,7.3,8.0,13.5
44,7.4,10.4,22.3
45,7.4,9.8,22.0
46,7.5,8.0,8.9
47,7.5,8.9,15.3
48,7.6,9.1,5.5
49,7.6,9.2,22.3
50,7.7,8.5,12.6
51,8.1,12.4,25.3
52,8.1,9.2,9.1
53,8.2,9.3,19.5
54,8.3,9.1,11.7
55,8.5,9.0,4.3
56,8.7,9.5,15.1
57,8.9,10.4,28.5
58,9.0,10.9,30.4
59,9.2,13.3,32.5
60,9.2,11.1,35.0
61,9.3,10.6,16.4
62,9.3,9.6,1.0
63,9.3,9.9,8.8
64,9.4,10.6,16.3
65,9.6,10.9,27.8
66,9.7,10.6,15.9
67,9.9,10.6,14.9
68,10.0,11.5,19.7
69,10.0,10.4,4.2
70,10.1,11.5,9.4
71,10.2,11.3,23.5
72,10.2,10.9,13.0
73,10.2,10.8,3.2
74,10.3,11.0,8.3
75,10.4,10.6,4.3
76,10.5,12.5,28.5
77,10.5,11.2,14.8
78,10.6,11.3,8.1
79,10.7,11.3,11.2
80,10.7,11.3,12.3
81,10.7,13.3,5.5
82,10.7,11.5,17.2
83,10.8,11.6,9.2
84,10.8,11.3,7.1
85,10.8,12.6,21.0
86,10.8,11.4,12.7
87,10.8,12.0,25.6
88,10.8,12.2,23.0
89,10.9,12.4,17.0
90,11.0,13.9,51.1
91,11.0,11.7,13.0
92,11.1,12.1,21.7
93,11.2,12.9,28.6
94,11.3,12.3,14.4
95,11.3,11.5,4.2
96,11.4,12.2,14.6
97,11.4,12.6,25.9
98,11.5,12.4,18.2
99,11.5,11.8,6.5
100,11.5,11.7,3.4
101,11.5,12.4,14.8
102,11.7,13.1,23.0
103,11.8,12.3,6.3
104,11.9,12.1,1.0
105,11.9,12.1,1.0
106,11.9,12.6,14.0
107,11.9,14.0,40.8
108,11.9,13.0,13.3
109,11.9,13.0,18.9
110,12.0,12.8,13.9
111,12.0,12.6,10.9
112,12.0,12.7,12.2
113,12.1,12.5,4.7
114,12.2,12.7,6.0
115,12.2,12.6,5.2
116,12.2,13.4,16.5
117,12.2,15.3,12.6
118,12.3,12.7,1.0
119,12.3,12.7,8.6
120,12.4,13.9,32.9
121,12.4,13.4,21.1
122,12.5,13.7,15.9
123,12.5,13.5,21.6
124,12.5,14.5,34.2
125,12.5,14.0,25.4
126,12.6,13.3,9.3
127,12.6,13.4,14.4
128,12.6,13.3,14.3
129,12.6,13.5,17.5
130,12.6,13.7,10.7
131,12.7,13.9,11.9
132,12.8,13.3,4.4
133,12.8,13.6,9.7
134,12.8,13.4,11.1
135,12.9,13.4,9.2
136,12.9,14.2,12.8
137,12.9,14.4,22.7
138,13.0,15.4,43.0
139,13.2,14.7,27.2
140,13.2,13.4,3.0
141,13.3,13.9,6.9
142,13.3,13.5,3.5
143,13.3,14.4,11.5
144,13.3,14.4,19.2
145,13.4,14.2,15.9
146,13.5,14.5,21.5
147,13.6,14.7,15.5
148,13.6,14.1,8.9
149,13.8,15.3,21.1
150,13.8,15.0,22.1
151,14.0,15.3,24.0
152,14.0,15.3,12.8
153,14.0,15.3,4.7
154,14.1,15.4,23.8
155,14.1,14.3,3.7
156,14.1,15.5,17.7
157,14.2,16.1,19.0
158,14.2,14.4,3.8
159,14.2,14.6,5.2
160,14.4,14.9,10.7
161,14.4,14.6,1.0
162,14.4,14.8,8.7
163,14.5,15.6,14.1
164,14.5,15.8,17.4
165,14.5,15.8,15.4
166,14.5,15.0,5.4
167,14.7,15.4,15.4
168,14.8,15.2,3.4
169,14.8,16.1,26.1
170,14.9,16.3,16.0
171,14.9,16.7,19.2
172,14.9,15.4,9.7
173,15.0,15.2,1.0
174,15.0,16.1,1.0
175,15.0,16.4,21.6
176,15.1,15.4,5.0
177,15.1,16.8,25.2
178,15.2,16.8,31.6
179,15.3,15.9,10.3
180,15.3,16.5,20.2
181,15.4,16.8,27.1
182,15.5,17.2,13.4
183,15.5,16.1,6.9
184,15.5,16.8,17.4
185,15.6,22.9,34.5
186,15.6,16.2,6.4
187,15.7,16.1,7.7
188,15.9,21.4,27.3
189,15.9,17.4,18.6
190,15.9,16.7,12.1
191,15.9,17.1,10.8
192,16.0,16.6,8.0
193,16.1,16.3,1.0
194,16.2,16.7,8.3
