index,arrival_time,departure_time,required_energy
1,0.3,8.3,40.8
2,0.3,4.4,21.7
3,2.2,10.3,34.8
4,5.7,6.5,16.2
5,7.4,10.5,35.0
6,8.0,10.5,36.5
7,8.2,8.9,1.9
8,9.1,9.7,12.2
9,9.3,10.3,19.4
10,9.5,11.0,13.9
11,9.5,10.5,15.9
12,9.6,9.8,3.0
13,10.7,11.1,7.6
14,10.8,12.7,25.4
15,10.9,11.6,8.7
16,11.3,12.5,24.5
17,11.8,12.8,14.4
18,12.4,12.6,3.9
19,12.5,13.4,19.3
20,12.5,16.9,27.7
21,12.8,13.0,4.0
22,13.3,13.8,6.2
23,13.9,14.7,13.2
24,13.9,14.6,15.0
25,14.7,15.7,14.0
26,14.9,16.2,19.3
27,15.2,15.9,14.0
28,15.8,16.0,4.0
29,16.0,16.6,12.9
30,16.1,16.9,17.4
31,16.1,16.7,12.9
32,16.2,18.0,39.2
33,16.9,18.0,23.1
34,16.9,17.1,3.3
35,17.2,17.7,9.0
36,18.5,19.8,23.6
37,19.7,20.4,14.1
38,19.7,20.4,11.1
39,20.2,22.6,44.5
40,20.7,22.1,29.2
41,21.2,22.4,23.6
42,21.3,22.5,24.9
43,21.3,22.8,27.5
44,21.7,24.0,25.8
45,22.7,23.8,23.2
46,22.9,23.4,8.7
47,22.9,23.3,8.8
48,23.0,24.0,19.0
49,23.0,23.3,3.7
50,23.0,23.4,6.5
