index,arrival_time,departure_time,required_energy
1,0.4,2.7,40.7
2,1.2,6.8,48.9
3,3.4,5.0,23.3
4,4.1,5.4,27.6
5,4.7,5.8,14.0
6,5.1,5.7,10.3
7,5.3,6.2,12.4
8,5.7,6.0,6.1
9,7.6,9.1,22.8
10,8.1,13.3,48.0
11,8.1,9.2,23.6
12,8.3,9.5,22.1
13,8.7,10.5,27.4
14,9.7,11.2,23.3
15,9.7,10.0,4.5
16,9.8,10.4,10.2
17,9.9,12.0,28.9
18,10.0,10.7,11.0
19,10.1,10.8,8.3
20,10.4,11.5,17.1
21,10.5,11.0,5.1
22,10.6,11.8,21.7
23,11.1,12.3,21.6
24,11.1,19.8,32.0
25,11.1,12.1,9.5
26,11.1,11.5,5.6
27,11.4,12.7,10.1
28,11.5,12.2,12.7
29,11.6,12.6,17.7
30,11.7,12.8,23.8
31,12.0,13.0,21.3
32,12.1,13.2,11.7
33,12.1,12.9,16.6
34,12.2,12.7,10.9
35,12.3,13.2,18.2
36,12.3,12.9,12.6
37,12.4,13.0,11.4
38,12.6,13.1,9.6
39,12.7,13.4,1.0
40,12.8,15.9,36.3
41,12.8,13.2,7.5
42,13.1,14.1,17.2
43,13.3,14.3,21.9
44,13.6,14.1,6.4
45,14.1,15.9,36.7
46,14.1,15.4,28.1
47,14.5,16.3,32.1
48,14.5,15.2,10.2
49,14.5,14.7,1.0
50,14.6,16.0,22.5
51,14.6,15.0,3.9
52,14.9,15.8,9.3
53,15.3,16.0,8.9
54,15.4,16.1,7.8
55,15.7,17.4,11.3
56,15.8,16.2,6.2
57,15.8,15.9,2.1
58,16.4,16.8,3.9
59,16.5,19.5,18.1
60,16.8,17.5,10.4
61,16.8,17.8,21.6
62,16.8,17.9,23.8
63,17.0,17.6,12.3
64,17.1,18.5,18.8
65,17.2,18.4,16.0
66,17.3,18.0,12.1
67,17.4,19.1,23.0
68,17.7,18.1,5.6
69,17.8,18.5,11.1
70,17.9,18.1,1.0
71,18.2,19.4,20.4
72,18.2,19.4,18.8
73,18.3,19.3,16.0
74,18.6,19.4,14.3
75,18.6,19.0,7.0
76,18.8,19.2,7.7
77,18.9,19.9,12.2
78,18.9,19.7,13.0
79,18.9,19.5,10.1
80,19.2,19.4,2.2
81,19.2,19.8,7.9
82,19.2,19.9,7.7
83,19.5,19.9,6.7
84,19.6,21.1,29.0
85,19.7,20.1,5.9
86,19.7,20.8,14.7
87,19.9,20.1,3.3
88,20.0,20.5,7.6
89,20.5,21.9,28.0
90,21.1,21.9,3.4
91,21.5,22.8,13.5
92,21.5,22.4,7.6
93,21.6,23.0,18.5
94,21.7,22.9,14.7
95,21.7,22.1,4.5
96,22.1,22.3,1.0
97,22.2,23.0,17.3
98,22.7,23.0,6.5
99,22.9,23.2,4.9
100,23.0,23.9,17.5
